,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
263,1977,Kaiserganj,30,641526,339445,302081,307332,215906,91426,47.9
264,1977,Kakinada,7,656501,324405,332096,446438,224752,221686,68.0
265,1977,Kalahandi,14,542033,269629,272404,193140,138360,54780,35.6
266,1977,Kaliabor,11,585312,319258,266054,299220,191022,108198,51.1
267,1977,Kanakapura,11,673583,351978,321605,418814,323325,95489,62.2
268,1977,Kanara,22,583855,297440,286415,391234,211102,180132,67.0
269,1977,Kangra,3,477075,241001,236074,305117,160229,144888,64.0
270,1977,Kanker,19,546877,263193,283684,278807,158341,120466,51.0
271,1977,Kannauj,67,618335,355072,263263,418893,259748,159145,67.8
272,1977,Kanpur,65,657627,394552,263075,383842,247301,136541,58.4
273,1977,Kapadvanj,16,561342,281923,279419,330969,186421,144548,59.0
274,1977,Karad,45,629569,300881,328688,339680,168408,171272,54.0
275,1977,Karimganj,1,535378,290649,244729,239772,163580,76192,44.8
276,1977,Karimnagar,37,650519,331036,319483,370915,201259,169656,57.0
277,1977,Karnal,3,556203,295156,261047,422745,230733,192012,76.0
278,1977,Karol Bagh,7,315305,179518,135787,217380,122061,95319,68.9
279,1977,Karur,26,732872,363743,369129,517913,266299,251614,70.7
280,1977,Kasaragod,1,578474,284774,293700,462875,223508,239367,80.0
281,1977,Katihar,25,528137,290369,237768,317800,174835,142965,60.2
282,1977,Katwa,40,575293,299851,275442,369898,204744,165154,64.3
283,1977,Kendrapara,5,629067,331005,298062,396224,218313,177911,63.0
284,1977,Keonjhar,21,561230,293714,267516,194821,137757,57064,34.7
285,1977,Khagaria,31,653356,339487,313869,412527,214524,198003,63.1
286,1977,Khajuraho,6,666008,345076,320932,348780,219219,129561,52.4
287,1977,Khalilabad,36,641772,354143,287629,387762,234265,153497,60.4
288,1977,Khammam,40,596499,297236,299263,419829,221328,198501,70.4
289,1977,Khandwa,34,524670,263268,261402,330516,184441,146075,63.0
290,1977,Khargone,35,537398,267719,269679,344491,191093,153398,64.1
291,1977,Khed,41,553342,265787,287555,308317,165505,142812,55.7
292,1977,Kheri,15,612725,368677,244048,294415,210589,83826,48.1
293,1977,Khunti,52,560524,279870,280654,190162,112614,77548,33.9
294,1977,Khurja,77,611632,336704,274928,364979,219214,145765,59.7
295,1977,Kishanganj,23,598944,357760,241184,292961,185611,107350,48.9
296,1977,Kodarma,45,602764,308511,294253,261508,151675,109833,43.4
297,1977,Kokrajhar,5,550061,293214,256847,344818,193979,150839,62.7
298,1977,Kolaba,3,587580,280838,306742,363056,181032,182024,61.8
299,1977,Kolar,10,594814,300790,294024,361610,207276,154334,60.8
300,1977,Kolhapur,48,551595,272814,278781,384229,197732,186497,69.7
301,1977,Kopargaon,40,510732,256025,254707,277932,152095,125837,54.4
302,1977,Koppal,4,613378,304689,308689,344340,190301,154039,56.1
303,1977,Koraput,12,581428,300043,281385,151124,107450,43674,26.0
304,1977,Kota,14,549045,280956,268089,357258,199726,157532,65.1
305,1977,Kottayam,13,575946,292437,283509,469180,239463,229717,81.5
306,1977,Krishnagar,11,534845,269626,265219,331367,175745,155622,62.0
307,1977,Krishnagiri,14,583179,292053,291126,349648,195065,154583,60.0
308,1977,Kurnool,26,722409,359934,362475,370223,201599,168624,51.3
309,1977,Kurukshetra,2,538852,287710,251142,425945,234535,191410,79.1
310,1977,Kutch,1,438528,209891,228637,240319,122301,118018,54.8
311,1977,Ladakh,4,64706,32981,31725,45581,24509,21072,70.4
312,1977,Lakhimpur,14,555812,298124,257688,287875,174303,113572,51.8
313,1977,Lakshadweep,1,19471,10184,9287,16480,8743,7737,84.6
314,1977,Lalganj,46,666278,348226,318052,349841,194810,155031,52.5
315,1977,Latur,35,605229,309982,295247,361142,191013,170129,59.7
316,1977,Lohardaga,53,566103,287033,279070,258952,147189,111763,45.7
317,1977,Lucknow,20,620406,344630,275776,336306,193130,143176,54.2
318,1977,Ludhiana,9,665954,361577,304377,502599,275171,227428,75.5
319,1977,Machhlishahr,47,633108,326117,306991,328690,190157,138533,51.9
